[2026-06-03 14:05:19] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 기설정된 WAKEUP 미션 수행에 실패하였습니다. 주의 관찰 부탁드립니다.
[2026-06-03 14:06:45] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 기설정된 WAKEUP 미션 수행에 실패하였습니다. 주의 관찰 부탁드립니다.
[2026-06-03 14:06:45] TO: 010-9876-5432 | MSG: [PASS-MATE] 홍길동 학생과의 과외 매칭이 성사되었습니다. 연락처: 010-9876-5432
[2026-06-03 14:25:53] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 기설정된 WAKEUP 미션 수행에 실패하였습니다. 주의 관찰 부탁드립니다.
[2026-06-03 14:25:53] TO: 010-9876-5432 | MSG: [PASS-MATE] 홍길동 학생과의 과외 매칭이 성사되었습니다. 연락처: 010-9876-5432
[2026-06-03 16:40:26] TO: 010-9876-5432 | MSG: [PASS-MATE] 홍길동 학생과의 과외 매칭이 성사되었습니다. 연락처: 010-9876-5432
[2026-08-01 23:34:55] TO: 010-1234-5678 | MSG: [PASS-MATE] 홍길동 학생이 공부 측정 중 다른 어플리케이션을 사용하여 집중을 유지하지 못했습니다.
[2026-08-11 12:36:35] TO: 010-1234-5678 | MSG: [PALIN OS] 홍길동 학생이 기설정된 SLEEP 미션 수행에 실패하였습니다. 수험 궤적 통제가 필요합니다.
[2026-09-02 23:16:49] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:16:49] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:56:38] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:56:38] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-02 23:56:39] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:09:14] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:09:14] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:09:14] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:33:44] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:33:44] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:33:45] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:34:08] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청(CLASS_CHANGE)이 승인 처리되었습니다.
[2026-09-03 00:54:03] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:54:03] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 00:54:04] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 01:07:07] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 01:07:07] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 01:07:07] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 01:48:15] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 01:48:15] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 01:48:15] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:19:54] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:19:54] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:19:54] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 정규 반 변경 신청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:25:25] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:25:36] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:25:48] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:25:58] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 02:40:48] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 03:03:08] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 03:18:18] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 03:33:07] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-03 03:43:30] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: [일원학원] 김철훈 학생의 행정 요청이 정상 접수되었습니다. (원장 확인 중)
[2026-09-08 00:07:44] TO: 01012345678 | TITLE: [PALIN OS 알림] | MSG: PALIN OS 알림입니다.
